Product URL,Href Link,Product Name,Product Price,Product Rating,Product Review,Description,Manufacturer,Product Description,ASIN
https://www.amazon.in/Zebronics-Compartment-Backpacks-15-6-inch-Black/dp/B0C6KZS555/ref=sr_1_1_sspa?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,/sspa/click?ie=UTF8&spc=MToyNzQwOTU0MjU4MzEzNTk4OjE2OTI2ODUxNDE6c3BfYXRmOjMwMDAxNjYxODE5NjUzMjo6MDo6&url=%2FZebronics-Compartment-Backpacks-15-6-inch-Black%2Fdp%2FB0C6KZS555%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1692685141%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Black)",528,3.0 out of 5 stars,6,It has a Padded Adjustable Shoulder Straps and a trolley support strap for maximum comfort and to make your travel journey happier.,"‎Zebronics India Private Limited, Zebronics India Private Limited","Zebronics Camp1, 14 Liters, 1 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags",B0C6KZS555
https://www.amazon.in/ZEBRONICS-Techshield-A3-Compartment-Backpacks/dp/B0C6QWBRSB/ref=sr_1_2_sspa?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,/sspa/click?ie=UTF8&spc=MToyNzQwOTU0MjU4MzEzNTk4OjE2OTI2ODUxNDE6c3BfYXRmOjMwMDAxNjYxODE5NjIzMjo6MDo6&url=%2FZEBRONICS-Techshield-A3-Compartment-Backpacks%2Fdp%2FB0C6QWBRSB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1692685141%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"ZEBRONICS Techshield A3, 23 Liters 2 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black)",846,5.0 out of 5 stars,6,"It is water-resistant, good quality zipper, Light Weight, and has a Padded Adjustable Shoulder Straps and a trolley support strap for maximum comfort and to make your travel journey happier.","‎Zebronics India Private Limited, Zebronics India Private Limited","ZEBRONICS Techshield A3, 23 Liters 2 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags",B0C6QWBRSB
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-3,/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-3,Skybags Brat Black 46 Cms Casual Backpack,649,4.1 out of 5 stars,5525,Size: 35 x 13 x 46 cms,‎VIP Industries Ltd,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",‎B08Z1HHHTD
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-4,/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-4,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0 out of 5 stars,55249,Mesh Padding on back & shoulder strap to provide comfort & better back support,‎Samsonite,No Description,B07CJCGM1M
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-5,/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,3442,"FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",‎Amazing Bags,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",‎B09VCLZ3K4
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-6,/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-6,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0 out of 5 stars,5610,Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>,"‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002","Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",‎B09VTDMRY7
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-7,/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-7,TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),599,3.7 out of 5 stars,2462,"Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.","‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",No Description,‎B09QJ7ZF2Y
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-8,/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-8,"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9 out of 5 stars,16960,"OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.","‎Amazing Bags, Half_Moon, New Delhi",No Description,‎B085MHDJ93
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_9?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-9,/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_9?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-9,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,3442,"FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",‎Amazing Bags,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",‎B0BJ32LQ6X
https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_10?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-10,/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_10?keywords=bags&qid=1692685141&sprefix=ba%2Caps%2C283&sr=8-10,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3 out of 5 stars,5600,Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only<br>,"‎Fur Jaden, Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",No Description,‎B07YDGQQN5
